date,vin,make,model,year,mileage
11-21-2022,12345,Chevrolet,Tahoe,2021,2000
11-22-2022,12345,Chevrolet,Tahoe,2021,2150
11-23-2022,12345,Chevrolet,Tahoe,2021,2300
11-24-2022,12345,Chevrolet,Tahoe,2021,2450
11-25-2022,12345,Chevrolet,Tahoe,2021,2600
11-21-2022,67890,Dodge,Charger,2021,1000
11-22-2022,67890,Dodge,Charger,2021,1150
11-23-2022,67890,Dodge,Charger,2021,1300
11-24-2022,67890,Dodge,Charger,2021,1450
11-25-2022,67890,Dodge,Charger,2021,1600
11-21-2022,34567,Dodge,Charger,2021,1050
11-22-2022,34567,Dodge,Charger,2021,1100
11-23-2022,34567,Dodge,Charger,2021,1150
11-24-2022,34567,Dodge,Charger,2021,1200
11-25-2022,34567,Dodge,Charger,2021,1250
